Ticker,Company Name,monthly_return,capm_beta,book_price,CAP,GPM
AAOI,"Applied Optoelectronics, Inc.",-25.13,2.8740578,0.30333397,1241.1466,33.173645
ATR,"Aptargroup, Inc.",-0.49,0.96461165,0.2171148,5377.113,29.089716
WTR,"Aqua America, Inc.",3.17,0.57720417,0.29394373,5897.34,46.588814
ARCB,ArcBest Corporation,-2.68,1.7562785,0.7173672,857.20886,1.3468499
ADM,Archer-Daniels-Midland Company,-4.04,1.1091081,0.73330885,23763.09,6.1966324
AROC,Archrock Inc.,-3.88,3.4471538,0.84940547,891.2466,27.03164
ARNC,"Arconic, Inc.",-0.79,4.5179687,0.45907548,10998.956,16.904705
AHH,"Armada Hoffler Properties, Inc.",1.19,0.56021583,0.2769093,620.5752,14.769255
ARR,"ARMOUR Residential REIT, Inc.",#N/A,0.766452,1.1871332,1118.2599,#N/A
ARRS,ARRIS International Plc,-1.28,1.3857971,0.58857584,5319.083,19.886198
ARW,"Arrow Electronics, Inc.",1.22,1.1881934,0.59382355,7072.9443,12.522292
AJG,Arthur J. Gallagher & Co.,0.46,1.2244827,0.31851605,11128.178,68.50283
ABG,"Asbury Automotive Group, Inc.",-0.77,1.5547616,0.21433863,1272.092,15.748029
ASNA,"Ascena Retail Group, Inc.",-14.47,1.8669307,2.169123,477.99503,52.142925
ASH,"Ashland Global Holdings, Inc.",1.31,1.0727727,0.794114,4080.4875,31.40663
AHL,Aspen Insurance Holdings Limited,#N/A,0.7672901,1.1030974,2400.056,#N/A
ASB,Associated Banc-Corp,#N/A,1.2009479,0.7616638,3693.7021,#N/A
AIZ,"Assurant, Inc.",#N/A,0.8106623,0.72783816,5164.2544,#N/A
ASTE,"Astec Industries, Inc.",-5.8,1.0017601,0.541103,1292.0946,23.169237
T,AT&T Inc.,-10.33,0.42295554,0.5960727,240464.63,37.2773
AAWW,"Atlas Air Worldwide Holdings, Inc.",-5.52,1.4454063,0.9886176,1662.4862,18.658348
ATO,Atmos Energy Corporation,1.25,0.40035883,0.38194513,8892.06,27.979261
ATNI,"ATN International, Inc.",0.94,0.60220325,0.7727303,854.026,43.183952
ADSK,"Autodesk, Inc.",5.82,1.9740374,0.026648564,24606.521,81.51647
ADP,"Automatic Data Processing, Inc.",2.49,0.8833112,0.07687148,48538.08,45.619476
AN,"AutoNation, Inc.",-1.35,1.2463065,0.48424676,4330.4517,14.668885
AZO,"AutoZone, Inc.",-2.09,0.656433,-0.10894603,16563.697,52.735115
AVB,"AvalonBay Communities, Inc.",-0.48,0.36429185,0.4084543,24636.818,39.821728
AVY,Avery Dennison Corporation,3.8,1.2199098,0.09871209,8661.849,28.03253
CAR,"Avis Budget Group, Inc.",4.22,2.563245,0.062297393,3158.9802,25.383993
AVA,Avista Corporation,-0.64,0.45065027,0.4916909,3334.7424,27.354988
AVT,"Avnet, Inc.",-0.46,1.0704956,1.0578624,4837.0815,13.586277
AVP,"Avon Products, Inc.",-2.45,1.9008495,-0.849931,1025.1946,60.536583
ACLS,"Axcelis Technologies, Inc.",12.16,1.0987065,0.2074413,859.69257,37.30542
AAXN,Axon Enterprise Inc,-0.22,1.1650046,0.12554008,1197.1782,63.882637
AZZ,AZZ Inc.,-2.06,1.5528804,0.42676207,1264.3164,24.626453
BGS,"B&G Foods, Inc.",-1.27,0.12180431,0.37204587,2117.9082,31.206242
BMI,"Badger Meter, Inc.",-8,0.64428514,0.20088653,1426.5092,39.1443
BHGE,"Baker Hughes, a GE Company Class A",-10.68,0.78739727,0.9496995,15673.359,-0.57920945
BCPC,Balchem Corporation,1.2,1.0912248,0.19464263,2592.2422,32.693367
BLL,Ball Corporation,1.11,0.9938082,0.22878769,14521.272,14.588392
BANC,"Banc of California, Inc.",#N/A,0.95461935,0.67708594,1048.43,#N/A
BXS,Bancorpsouth Inc.,#N/A,1.4035614,#N/A,2895.073,#N/A
BKMU,Bank Mutual Corporation,#N/A,0.56721014,0.59322536,466.2754,#N/A
BAC,Bank of America Corporation,#N/A,1.30206,0.8775287,264992.38,#N/A
BOH,Bank of Hawaii Corporation,#N/A,0.9586327,0.33382082,3543.9126,#N/A
BK,Bank of New York Mellon Corporation,#N/A,1.2151021,0.65442306,54293.664,#N/A
OZRK,Bank of the Ozarks,#N/A,1.4989471,0.4937842,6158.7603,#N/A
BANR,Banner Corporation,#N/A,1.0700232,0.68626046,2037.8531,#N/A
BNED,"Barnes & Noble Education, Inc.",-11.45,1.0552782,2.8152204,302.82568,21.556402
BKS,"Barnes & Noble, Inc.",-4.92,2.643096,1.1326472,551.25836,28.098572
B,Barnes Group Inc.,-6.19,1.3671279,0.33362576,3776.2783,35.79059
